PSO Code,RX Count
PA1,0
PA2,0
PA3,2
PA4,7
PA5,0
PA6,0
PA7,0
PA8,0
PA9,0
PB1,28
PB2,0
PB3,0
PB4,3
PB5,0
PB6,0
PB7,3
PB8,0
PB9,0
PC1,0
PC2,0
PC3,12
PC4,0
PC5,0
PC6,2
PC7,3
PC8,0
PC9,0
PD1,2
PD2,0
PD3,0
PD4,0
PD5,0
PD6,0
PD7,0
PD8,0
PD9,0
PE1,34
PE2,0
PE3,0
PE4,0
PE5,0
PE6,2
PE7,0
PE8,0
PE9,0
PF1,0
PF2,0
PF3,0
PF4,0
PF5,11
PF6,21
PF7,0
PF8,0
PF9,5
PG1,3
PG2,0
PG3,0
PG4,10
PG5,0
PG6,8
PG7,0
PG8,0
PG9,0
PH2,0
PH3,0
PH4,0
PH5,5
PH6,0
PH7,0
PH8,0
PH9,0
PI2,0
PI3,2
PI4,0
PI5,4
PI6,0
PI7,0
PI8,2
PI9,3
PJ1,0
PJ2,0
PJ3,0
PJ4,0
PJ5,0
PJ6,3
PJ7,0
PJ8,0
PJ9,5
PK1,3
PK2,6
PK3,0
PK4,0
PK5,0
PK6,0
PK7,0
PK8,0
PK9,1
PL1,0
PL2,0
PL3,14
PL4,9
PL5,0
PL6,0
PL7,0
PL8,0
PL9,3
PM1,0
PM2,0
PM3,0
PM4,0
PM5,5
PM6,0
PM7,9
PM8,0
PM9,12
PN1,0
PN2,6
PN3,2
PN4,3
PN6,1
PN7,81
PN8,0
PN9,0
PO1,0
PO3,0
PO4,0
PO5,0
PO6,0
PO7,0
PO8,0
PO9,1
PP1,0
PP2,0
PP3,0
PP4,0
PP5,0
PP6,0
PP7,0
PP8,0
PP9,0
PQ1,0
PQ2,0
PQ3,0
PQ4,0
PQ5,0
PQ6,2
PQ7,0
PQ8,5
PQ9,1
PR1,21
PR2,0
PR3,5
PR4,33
PR5,0
PR6,0
PR7,0
PR8,0
PR9,0
PS1,6
PS2,0
PS3,0
PS4,0
PS5,7
PS6,4
PS7,0
PS8,7
PS9,1
PT1,0
PT2,0
PT3,1
PT4,1
PT5,0
PT6,41
PT7,0
PT8,0
PT9,6
PU1,13
PU2,5
PU3,0
PU4,0
PU5,0
PU6,0
PU7,0
PU8,0
PU9,0
PV1,10
PV2,0
PV3,5
PV4,0
PV5,0
PV6,0
PV7,0
PV8,0
PV9,0
PW1,8
PW2,0
PW3,0
PW4,0
PW5,0
PW6,0
PW7,6
PW8,2
PW9,0
PX1,2
PX2,2
PX3,6
PX4,0
PX5,1
PX6,0
PX7,2
PX8,0
PX9,0
PY1,0
PY2,0
PY3,0
PY4,19
PY5,18
PY6,7
PY7,0
PY8,0
PY9,0
PZ1,11
PZ2,15
PZ3,0
PZ4,5
PZ5,0
PZ6,2
PZ7,0
PZ8,0
PZ9,2
QA1,6
QA2,0
QA3,0
QA4,0
QA5,3
QA6,10
QA7,0
QA8,0
QA9,22
QB1,0
QB2,0
QB3,4
QB4,0
QB5,1
QB6,7
QB7,0
QB8,5
QC1,0
QC2,1
QC3,0
QC4,0
QC5,0
QC6,2
QC7,1
QC8,0
QC9,0
QD1,1
QD2,1
QD3,0
QD4,0
QD5,0
QD6,0
QD7,1
QD8,3
QD9,9
QE1,0
QE2,0
QE3,0
QE4,0
QE5,0
QE6,0
QE7,2
QE8,0
QE9,16
QF1,16
QF2,2
QF3,0
QF4,0
QF5,6
QF6,0
QF7,0
QF8,0
QF9,0
QG1,0
QG2,2
QG3,0
QG4,0
QG5,0
QG6,0
QG7,15
QG8,0
QG9,2
QH1,0
QH2,0
QH3,14
QH4,0
QH5,0
QH6,4
QH7,4
QH8,0
QH9,0
QI2,0
QI3,3
QI4,0
QI5,0
QI6,0
QI7,11
QI8,0
QI9,2
QJ1,0
QJ2,0
QJ3,0
QJ4,0
QJ5,0
QJ6,0
QJ7,0
QJ8,0
QJ9,1
QK1,0
QK2,5
QK3,1
QK4,0
QK5,0
QK7,0
QK8,0
QK9,0
QL1,0
QL3,2
QL4,0
QL5,0
QL6,0
QL7,0
QL8,0
QZ6,0
QZ7,13
QZ8,13
QZ9,0
